,layer,min_impurity_decrease,f1,f1_train,weighted_f1,weighted_f1_train,variable_count,fraction_0
0,0,0.0001,0.730228663026378,0.7478350260945655,0.8287108610645415,0.7478345397455269,93.16796875,0.01171875
1,0,0.0005,0.6638265699814664,0.6683719555900627,0.7643310597321415,0.6683714881060043,26.93359375,0.09423828125
2,1,0.0001,0.6572634065325177,0.6751180189646707,0.7686170890815224,0.6751175390755331,147.7421875,0.0107421875
3,1,0.0005,0.5880705533659405,0.5920865856074792,0.692872264635579,0.5920861290271986,34.42578125,0.10009765625
4,2,0.0001,0.6592235844198397,0.6753655313977878,0.7589868608123679,0.675365054857378,139.4697265625,0.0185546875
5,2,0.0005,0.609753137179788,0.613046425593681,0.702260613136988,0.6130459655891676,32.638671875,0.14794921875
6,3,0.0001,0.6670464357588565,0.6813305079095929,0.7604270016855358,0.6813300376763243,120.734375,0.037109375
7,3,0.0005,0.6479512736870555,0.6510855243203252,0.7347640565031669,0.6510850635520345,28.71875,0.2109375
8,4,0.0001,0.7265688944589889,0.7377872192179865,0.8118999855208693,0.7377867450218922,96.755859375,0.0380859375
9,4,0.0005,0.7290019842647985,0.7314848854896223,0.8109579602806192,0.731484413009902,26.0869140625,0.19189453125
10,5,0.0001,0.7560126620645813,0.7698136352091575,0.8450331265555087,0.7698131561437235,98.0517578125,0.0478515625
11,5,0.0005,0.7627851350185684,0.7658908394371209,0.8573189908374526,0.7658903592130611,28.4921875,0.154296875
12,6,0.0001,0.7222769912786904,0.7374864695995055,0.7967462757205559,0.7374860116523204,81.8408203125,0.216796875
13,6,0.0005,0.7825865551522874,0.784959714534366,0.8592796368309378,0.7849592324188749,23.78125,0.34326171875
14,7,0.0001,0.7626259416683844,0.7780072353664177,0.798309663362989,0.7780067469380291,71.453125,0.73583984375
15,7,0.0005,0.7582835385038443,0.7600855527454413,0.7917174554168092,0.7600850643410528,13.9404296875,0.74755859375
